filename,Class,F0_mean,SpecCentroid,RMS,SpecRolloff85,MFCC1_mean,MFCC2_mean,MFCC3_mean,Onset_max
[pia][pop_roc]1349__1.wav,pia,81.82591997510413,1838.2099936455138,0.0650751,3813.3646334134614,-193.80742,105.011086,-10.127338,9.80326
[pia][pop_roc]1332__3.wav,pia,111.5683865179354,512.827928018297,0.052525915,872.9229266826923,-351.65607,219.01413,17.220156,3.3102462
067__[pia][nod][cla]1388__2.wav,pia,294.73313139236035,1133.2188347144934,0.02994015,1719.757549579327,-332.72018,189.98308,-52.89276,5.8843856
[pia][jaz_blu]1515__2.wav,pia,76.19649058027447,1481.3187246182358,0.062111687,3449.950420673077,-249.31178,114.35864,32.581177,5.0009804
[pia][cla]1497__1.wav,pia,115.26851759936012,686.5647210155702,0.048275236,946.5499173677885,-351.35187,185.99384,25.630373,5.024203
[pia][jaz_blu]1465__3.wav,pia,78.71382186710179,1887.6042643860983,0.10520408,4720.575045072115,-154.79645,103.33258,29.979086,6.8378124
057__[pia][nod][cla]1413__3.wav,pia,248.7873915217688,741.6244810956887,0.035581056,992.1009239783654,-405.78583,198.71245,2.2909505,5.5636168
[pia][jaz_blu]1468__3.wav,pia,256.8205219666151,1029.3233974139994,0.03583327,1934.6754807692307,-336.43048,165.63692,-26.696367,9.463866
[pia][pop_roc]1315__2.wav,pia,83.53401513225609,2325.281595209703,0.14273705,5384.4602614182695,-88.41955,83.16845,10.70284,5.754607
[pia][jaz_blu]1522__3.wav,pia,77.09084463269433,1220.29960685212,0.03429076,2375.9405048076924,-344.64572,127.56693,32.562515,7.6086874
[pia][cla]1292__2.wav,pia,671.5208535961613,1027.8763496859206,0.04513758,1638.8423978365386,-315.26154,179.2298,-24.908518,8.456143
[pia][jaz_blu]1509__1.wav,pia,154.74029886968128,1114.0420952890972,0.12838373,2214.5243013822114,-194.02771,156.97743,-24.0407,8.48101
[pia][cla]1457__1.wav,pia,130.69831365235908,890.1860891872071,0.063399345,1458.129131610577,-278.14935,205.58662,-36.756958,7.209097
[pia][jaz_blu]1514__1.wav,pia,199.75794234079055,967.4500294262382,0.07991034,1586.3345102163462,-273.11472,158.63387,8.977134,11.641665
[pia][pop_roc]1290__2.wav,pia,78.1826783779491,611.3699125441432,0.0792767,1144.2412860576924,-344.79712,176.30717,23.976969,14.853213
231__[pia][nod][cla]1408__1.wav,pia,633.7873369206145,1064.9156307634757,0.07326996,1884.9834735576924,-249.38615,178.22931,-41.410236,4.2997684
[pia][jaz_blu]1298__2.wav,pia,234.95867151672445,1757.7565482891405,0.085006975,3617.578125,-166.6238,127.79517,-27.68828,6.835012
[pia][cla]1447__3.wav,pia,186.37876258484113,591.928748634147,0.036457714,799.6272160456731,-435.77084,177.67711,31.869963,3.9862566
[pia][cla]1294__2.wav,pia,66.61631760381829,733.1836148699009,0.0101041235,1116.4137620192307,-499.57288,227.19806,2.2087953,5.5407267
[pia][jaz_blu]1501__3.wav,pia,94.01453910118431,1397.4445064531085,0.05084488,2990.1337139423076,-275.62613,126.43083,27.822432,9.390493
[pia][pop_roc]1446__1.wav,pia,249.55627250036113,1158.7505552458074,0.023786452,1733.4228515625,-439.7987,142.89516,-10.877082,14.322154
024__[pia][nod][cla]1414__2.wav,pia,219.39332641126182,1215.3544996900227,0.017072583,2280.3662109375,-361.80426,178.18028,-50.31576,7.290768
[pia][cla]1365__2.wav,pia,375.07355926853796,1148.1806753124522,0.041647296,1805.6419020432693,-301.04135,179.53658,-56.526012,5.309193
231__[pia][nod][cla]1408__3.wav,pia,818.4095604334061,1157.9440174515637,0.06285802,1862.1251502403845,-269.66364,173.3434,-45.67564,4.832171
199__[pia][nod][cla]1383__1.wav,pia,90.77704808075084,745.8344199271214,0.006323083,990.1132436899038,-550.3457,191.91672,24.93576,5.7969065
[pia][cla]1297__2.wav,pia,115.38395178325557,719.8264298897499,0.07511198,1316.8381911057693,-266.11755,222.25366,-37.12382,2.8839166
[pia][cla]1325__1.wav,pia,0.0,989.669772531736,0.023744117,1767.0477764423076,-324.24484,199.8017,-49.937523,6.606567
160__[pia][nod][jaz_blu]1433__2.wav,pia,134.21233797319533,1089.1020571738186,0.08759824,2221.895282451923,-261.4187,144.10072,2.323359,9.745288
[pia][jaz_blu]1506__3.wav,pia,81.71094706934913,1580.346761815145,0.08220269,3483.326885516827,-215.69424,112.23766,15.237804,5.6632156
[pia][cla]1341__3.wav,pia,88.1651845184164,782.0596186320682,0.061340015,1272.281024639423,-308.3103,198.139,-19.505325,10.895894
[pia][jaz_blu]1336__2.wav,pia,180.7691183631228,1133.259160702849,0.101821356,2173.9424954927886,-223.8954,155.639,-21.909595,4.4362226
178__[pia][nod][cla]1379__1.wav,pia,94.3924933549794,802.0779562938768,0.05788023,1457.8806715745193,-296.20798,197.62227,-13.911741,8.123599
[pia][jaz_blu]1360__3.wav,pia,82.4276018703243,1817.3160329242407,0.14904985,4361.798753004808,-140.44684,109.6038,27.463078,11.455798
[pia][pop_roc]1290__1.wav,pia,94.45060011346511,610.2059081140386,0.0758772,1132.8121243990386,-349.007,200.34843,17.011684,7.8708878
[pia][jaz_blu]1505__2.wav,pia,101.99747375737891,1055.6819491050028,0.049638424,1962.75146484375,-298.31305,162.85208,-7.3071494,10.080679
[pia][jaz_blu]1476__1.wav,pia,90.61913671407895,1894.7234384971187,0.09456949,4048.987567608173,-160.71342,96.20094,-5.698123,8.863031
[pia][jaz_blu]1318__1.wav,pia,395.34473213978504,1394.0239780854001,0.030916888,2512.262244591346,-358.57352,148.78348,-55.96983,10.51871
[pia][jaz_blu]1517__2.wav,pia,181.38700158083296,1086.5980111375093,0.17070165,1738.060772235577,-148.91307,167.88263,-3.2883723,5.9591084
222__[pia][nod][pop_roc]1438__2.wav,pia,136.56632964957103,728.3041104955876,0.026095523,994.4198843149038,-464.48178,207.4413,12.273039,7.2392354
[pia][jaz_blu]1504__3.wav,pia,98.78346015005792,1682.9162234147755,0.06679127,3832.91015625,-243.11533,99.88388,14.360101,5.771603
[pia][jaz_blu]1515__3.wav,pia,69.48012285019618,1673.8312328136244,0.05567392,4150.773362379808,-249.15712,102.079956,41.528484,5.4918156
160__[pia][nod][jaz_blu]1433__1.wav,pia,142.60081304240427,1062.5684782012895,0.105261,2102.800105168269,-237.47386,149.24706,8.792788,9.074535
